CBSA Name,year,value,date
"Fresno, CA",1997,0.0,1997-01-01
"Orlando-Kissimmee-Sanford, FL",1997,0.0,1997-01-01
"Raleigh, NC",1997,0.0,1997-01-01
"Jacksonville, FL",1997,0.0,1997-01-01
"Nashville-Davidson--Murfreesboro--Franklin, TN",1997,0.0,1997-01-01
"Charlotte-Concord-Gastonia, NC-SC",1997,0.0,1997-01-01
"San Antonio-New Braunfels, TX",1997,0.0,1997-01-01
"Dallas-Fort Worth-Arlington, TX",1997,0.0,1997-01-01
"Grand Rapids-Wyoming, MI",1997,0.0,1997-01-01
"Tampa-St. Petersburg-Clearwater, FL",1997,0.0,1997-01-01
"Atlanta-Sandy Springs-Roswell, GA",1997,0.0,1997-01-01
"Seattle-Tacoma-Bellevue, WA",1997,0.0,1997-01-01
"Salt Lake City, UT",1997,0.0,1997-01-01
"Oklahoma City, OK",1997,0.0,1997-01-01
"Columbus, OH",1997,0.0,1997-01-01
"Portland-Vancouver-Hillsboro, OR-WA",1997,0.0,1997-01-01
"Louisville/Jefferson County, KY-IN",1997,0.0,1997-01-01
"Kansas City, MO-KS",1997,0.0,1997-01-01
"Minneapolis-St. Paul-Bloomington, MN-WI",1997,0.0,1997-01-01
"Tulsa, OK",1997,0.0,1997-01-01
"Richmond, VA",1997,0.0,1997-01-01
"Washington-Arlington-Alexandria, DC-VA-MD-WV",1997,0.0,1997-01-01
"Riverside-San Bernardino-Ontario, CA",1997,0.0,1997-01-01
"Miami-Fort Lauderdale-West Palm Beach, FL",1997,0.0,1997-01-01
"Cincinnati, OH-KY-IN",1997,0.0,1997-01-01
"Boston-Cambridge-Newton, MA-NH",1997,0.0,1997-01-01
"Tucson, AZ",1997,0.0,1997-01-01
"Providence-Warwick, RI-MA",1997,0.0,1997-01-01
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1997,0.0,1997-01-01
"San Jose-Sunnyvale-Santa Clara, CA",1997,0.0,1997-01-01
"Pittsburgh, PA",1997,0.0,1997-01-01
"Baltimore-Columbia-Towson, MD",1997,0.0,1997-01-01
"Urban Honolulu, HI",1997,0.0,1997-01-01
"Detroit-Warren-Dearborn, MI",1997,0.0,1997-01-01
"St. Louis, MO-IL",1997,0.0,1997-01-01
"Memphis, TN-MS-AR",1997,0.0,1997-01-01
"Los Angeles-Long Beach-Anaheim, CA",1997,0.0,1997-01-01
"New York-Newark-Jersey City, NY-NJ-PA",1997,0.0,1997-01-01
"Chicago-Naperville-Elgin, IL-IN-WI",1997,0.0,1997-01-01
"Rochester, NY",1997,0.0,1997-01-01
"Hartford-West Hartford-East Hartford, CT",1997,0.0,1997-01-01
"Fresno, CA",1998,0.0,1998-01-01
"Orlando-Kissimmee-Sanford, FL",1998,0.0,1998-01-01
"Raleigh, NC",1998,0.0,1998-01-01
"Jacksonville, FL",1998,0.0,1998-01-01
"Nashville-Davidson--Murfreesboro--Franklin, TN",1998,0.0,1998-01-01
"Charlotte-Concord-Gastonia, NC-SC",1998,0.0,1998-01-01
"San Antonio-New Braunfels, TX",1998,0.0,1998-01-01
"Dallas-Fort Worth-Arlington, TX",1998,0.0,1998-01-01
"Grand Rapids-Wyoming, MI",1998,0.0,1998-01-01
"Tampa-St. Petersburg-Clearwater, FL",1998,0.0,1998-01-01
"Atlanta-Sandy Springs-Roswell, GA",1998,0.0,1998-01-01
"Seattle-Tacoma-Bellevue, WA",1998,0.0,1998-01-01
"Salt Lake City, UT",1998,0.0,1998-01-01
"Oklahoma City, OK",1998,0.0,1998-01-01
"Columbus, OH",1998,0.0,1998-01-01
"Portland-Vancouver-Hillsboro, OR-WA",1998,0.0,1998-01-01
"Louisville/Jefferson County, KY-IN",1998,0.0,1998-01-01
"Kansas City, MO-KS",1998,0.0,1998-01-01
"Minneapolis-St. Paul-Bloomington, MN-WI",1998,0.0,1998-01-01
"Tulsa, OK",1998,0.0,1998-01-01
"Richmond, VA",1998,0.0,1998-01-01
"Washington-Arlington-Alexandria, DC-VA-MD-WV",1998,0.0,1998-01-01
"Riverside-San Bernardino-Ontario, CA",1998,0.0,1998-01-01
"Miami-Fort Lauderdale-West Palm Beach, FL",1998,0.0,1998-01-01
"Cincinnati, OH-KY-IN",1998,0.0,1998-01-01
"Boston-Cambridge-Newton, MA-NH",1998,0.0,1998-01-01
"Tucson, AZ",1998,0.0,1998-01-01
"Providence-Warwick, RI-MA",1998,0.0,1998-01-01
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1998,0.0,1998-01-01
"San Jose-Sunnyvale-Santa Clara, CA",1998,0.0,1998-01-01
"Pittsburgh, PA",1998,0.0,1998-01-01
"Baltimore-Columbia-Towson, MD",1998,0.0,1998-01-01
"Urban Honolulu, HI",1998,0.0,1998-01-01
"Detroit-Warren-Dearborn, MI",1998,0.0,1998-01-01
"St. Louis, MO-IL",1998,0.0,1998-01-01
"Memphis, TN-MS-AR",1998,0.0,1998-01-01
"Los Angeles-Long Beach-Anaheim, CA",1998,0.0,1998-01-01
"New York-Newark-Jersey City, NY-NJ-PA",1998,0.0,1998-01-01
"Chicago-Naperville-Elgin, IL-IN-WI",1998,0.0,1998-01-01
"Rochester, NY",1998,0.0,1998-01-01
"Hartford-West Hartford-East Hartford, CT",1998,0.0,1998-01-01
"Fresno, CA",1999,76.20050215208033,1999-01-01
"Orlando-Kissimmee-Sanford, FL",1999,50.54138982997679,1999-01-01
"Raleigh, NC",1999,61.63406940063091,1999-01-01
"Jacksonville, FL",1999,53.388784494792226,1999-01-01
"Nashville-Davidson--Murfreesboro--Franklin, TN",1999,64.78731428781644,1999-01-01
"Charlotte-Concord-Gastonia, NC-SC",1999,61.26374533947549,1999-01-01
"San Antonio-New Braunfels, TX",1999,57.042857142857144,1999-01-01
"Dallas-Fort Worth-Arlington, TX",1999,55.182664986479395,1999-01-01
"Grand Rapids-Wyoming, MI",1999,54.31076741041244,1999-01-01
"Tampa-St. Petersburg-Clearwater, FL",1999,54.4044638980135,1999-01-01
"Atlanta-Sandy Springs-Roswell, GA",1999,71.97194479720125,1999-01-01
"Seattle-Tacoma-Bellevue, WA",1999,46.162445333176514,1999-01-01
"Salt Lake City, UT",1999,44.391320061580934,1999-01-01
"Oklahoma City, OK",1999,45.69660898755445,1999-01-01
"Columbus, OH",1999,65.97367907756954,1999-01-01
"Portland-Vancouver-Hillsboro, OR-WA",1999,41.090617266377215,1999-01-01
"Louisville/Jefferson County, KY-IN",1999,62.22932722471184,1999-01-01
"Kansas City, MO-KS",1999,54.36097128803653,1999-01-01
"Minneapolis-St. Paul-Bloomington, MN-WI",1999,46.187986845119184,1999-01-01
"Tulsa, OK",1999,51.60079051383399,1999-01-01
"Richmond, VA",1999,58.09637248850223,1999-01-01
"Washington-Arlington-Alexandria, DC-VA-MD-WV",1999,57.97666392803023,1999-01-01
"Riverside-San Bernardino-Ontario, CA",1999,72.11101794914887,1999-01-01
"Miami-Fort Lauderdale-West Palm Beach, FL",1999,46.092051682927064,1999-01-01
"Cincinnati, OH-KY-IN",1999,66.0456095103646,1999-01-01
"Boston-Cambridge-Newton, MA-NH",1999,53.01512076547996,1999-01-01
"Tucson, AZ",1999,44.14495072080024,1999-01-01
"Providence-Warwick, RI-MA",1999,45.40737841288791,1999-01-01
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1999,56.26613405070905,1999-01-01
"San Jose-Sunnyvale-Santa Clara, CA",1999,70.09502923976609,1999-01-01
"Pittsburgh, PA",1999,62.613115431535824,1999-01-01
"Baltimore-Columbia-Towson, MD",1999,62.82492492335001,1999-01-01
"Urban Honolulu, HI",1999,24.14239866821077,1999-01-01
"Detroit-Warren-Dearborn, MI",1999,59.202340453014486,1999-01-01
